method,round,node_id,node_type,sample_count,drift_score,aggregation_weight
FedAvg,1,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,1,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,1,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,1,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,1,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,1,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,1,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,1,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,1,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,1,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,2,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,2,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,2,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,2,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,2,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,2,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,2,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,2,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,2,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,2,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,3,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,3,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,3,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,3,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,3,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,3,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,3,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,3,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,3,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,3,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,4,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,4,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,4,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,4,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,4,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,4,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,4,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,4,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,4,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,4,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,5,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,5,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,5,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,5,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,5,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,5,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,5,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,5,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,5,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,5,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,6,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,6,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,6,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,6,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,6,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,6,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,6,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,6,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,6,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,6,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,7,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,7,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,7,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,7,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,7,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,7,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,7,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,7,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,7,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,7,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,8,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,8,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,8,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,8,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,8,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,8,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,8,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,8,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,8,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,8,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,9,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,9,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,9,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,9,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,9,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,9,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,9,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,9,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,9,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,9,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,10,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,10,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,10,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,10,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,10,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,10,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,10,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,10,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,10,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,10,node_tou_6,ToU,44960,0.18912706465978915,0.1
FLAST,1,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,1,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,1,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,1,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,1,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,1,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,1,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,1,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,1,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,1,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,2,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,2,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,2,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,2,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,2,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,2,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,2,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,2,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,2,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,2,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,3,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,3,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,3,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,3,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,3,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,3,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,3,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,3,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,3,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,3,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,4,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,4,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,4,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,4,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,4,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,4,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,4,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,4,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,4,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,4,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,5,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,5,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,5,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,5,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,5,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,5,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,5,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,5,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,5,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,5,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,6,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,6,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,6,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,6,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,6,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,6,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,6,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,6,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,6,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,6,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,7,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,7,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,7,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,7,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,7,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,7,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,7,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,7,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,7,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,7,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,8,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,8,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,8,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,8,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,8,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,8,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,8,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,8,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,8,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,8,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,9,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,9,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,9,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,9,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,9,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,9,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,9,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,9,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,9,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,9,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,10,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,10,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,10,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,10,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,10,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,10,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,10,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,10,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,10,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,10,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
